Wavelength,Plate Window Glass
365.93,0.3233143329760204
375.594,0.33650807710916086
385.263,0.35381069170602997
394.935,0.37081976953300044
404.613,0.38637832244831055
414.295,0.4011628152845259
423.981,0.41711453001121357
433.671,0.43490458279094374
443.366,0.45284477551136326
453.065,0.4685375207297074
462.769,0.48043349761167514
472.477,0.4913507394968488
482.19,0.5036655924990291
491.907,0.5183013940524309
501.628,0.5333143192735651
511.353,0.5496264570575682
521.084,0.567094647563566
530.818,0.5854236658915869
540.557,0.6043958115886175
550.3,0.6244953896489127
560.048,0.6455444170044414
569.8,0.6654908935978578
579.556,0.6822983332323049
589.317,0.6957978281711928
599.082,0.7062826868811264
608.852,0.7140923434335373
618.625,0.7200668505148128
628.404,0.7248650269747205
638.187,0.729243374142012
647.974,0.7330968460495778
657.765,0.7372246981958143
667.561,0.74129880186602
655.792,0.7363606564214074
665.599,0.7405007395059512
675.401,0.7445968610650927
685.198,0.7480729868890453
694.989,0.7512736090421832
704.776,0.7545720610851735
714.557,0.7574625924955048
724.333,0.7600414627431208
734.103,0.7625075054948113
743.869,0.7647856700433254
753.629,0.7665762726753089
763.384,0.7680826796271947
773.133,0.7694450517918131
782.878,0.7709152791132801
792.617,0.7719105321682224
802.352,0.7722775538626774
812.081,0.7735064936589333
821.804,0.7735064936589333
831.523,0.7743402670716351
841.236,0.7747354803362373
850.944,0.7759338586580009
860.647,0.7767018121388755
870.345,0.7800151858359368
880.037,0.782846604882251
889.724,0.785616275381837
899.407,0.7887456002901657
909.083,0.7898335432873084
918.755,0.7914493240991863
928.421,0.7933669425105625
938.083,0.7971025221716403
947.739,0.7973822104175582
957.39,0.7983314619678962
967.035,0.7988635731920359
976.675,0.801772530902251
986.311,0.8021632405826716
995.941,0.8061967891784491
1005.565,0.8063455694648475
1015.185,0.8111126421255688
1024.799,0.8111126421255688
1034.408,0.8153930222102805
1044.012,0.8155369004017669
1053.611,0.8204237208528343
1063.204,0.8209443480198081
1072.793,0.8252106814882318
1082.376,0.8261059514213405
1091.954,0.8304504949044151
1101.526,0.832004899948207
1111.094,0.83559641748607
1120.656,0.8376581917827572
1130.213,0.8402465863342267
1139.765,0.8425739509677806
1149.311,0.8444091726797834
1158.853,0.8469982092439787
1168.389,0.8487237747322508
1177.92,0.8526514073164326
1187.446,0.8535006654292754
1196.966,0.856829915138218
1206.482,0.8573566478002059
1215.992,0.8614999238688288
1225.497,0.8616888151876282
1234.996,0.8666380340560438
1244.491,0.8666615272703612
1253.98,0.8705129156944598
1263.464,0.8708400350921466
1253.373,0.8702231428901412
1263.346,0.8708400350921466
1273.318,0.8743826039109116
1283.291,0.8750184491518357
1293.262,0.8781270813529067
1303.234,0.8787053623026995
1452.782,0.8915429176203865
1462.75,0.8934528273819623
1472.718,0.900484137743948
1482.685,0.9023013439343585
1492.652,0.9102473914129798
1502.619,0.9123788002830104
1512.586,0.9196833825171394
1522.552,0.9217189115063281
1532.518,0.9282006709033371
1542.484,0.9300758333878028
1552.45,0.9363122374522631
1562.416,0.9381869110527683
1572.381,0.9436182460161235
1582.346,0.9453148931379871
1592.311,0.9510670012973126
1602.275,0.9529344698941273
1612.24,0.9586332873828202
1622.204,0.9605540466502677
1632.167,0.966013870889093
1642.131,0.967927779189899
1652.094,0.9731518776002755
1662.057,0.9750556675130214
1672.02,0.9784425085854912
1681.983,0.9797257700057285
1691.945,0.9828995486263183
1701.907,0.9841500282819265
1711.869,0.986590893679435
1721.831,0.9875910972162815
1731.792,0.9896591477296363
1741.753,0.9905405714797147
1751.714,0.9919025818602853
1761.675,0.9925069501634012
1771.635,0.9957019620486142
1781.596,0.9971769588940118
1791.556,1.0
1967.375,0.8791872436491923
1977.414,0.8964023954074919
1987.45,0.9019578623744846
1997.484,0.920735722164485
2007.515,0.9254552618861894
2017.545,0.9408906348617889
2027.572,0.9439463596451746
2037.596,0.9536718150194616
2047.619,0.9552848737237997
2057.639,0.9603082024337587
2067.656,0.9618203771699262
2077.672,0.9664529951771342
2087.685,0.9677348536184008
2097.696,0.9716145985786666
2107.704,0.9730871053698623
2117.71,0.9775136408676295
2127.714,0.9776365243612983
2137.716,0.978005235538551
2147.715,0.9758001012049432
2157.712,0.9691567189861549
2167.707,0.9659900355792337
2177.699,0.9563755388284823
2187.689,0.952158885202085
2197.677,0.9391701003946116
2207.662,0.936143201182654
2217.645,0.9266347644534478
2227.626,0.9245964249470919
2237.604,0.9180319983554643
2247.581,0.9145702664985313
2257.554,0.9030780691401403
2267.526,0.9004972168010618
2277.495,0.8916094645686267
2287.462,0.8896265731294064
2297.427,0.8825003831506018
2307.389,0.8816303462038844
2317.349,0.8783415653690402
2327.307,0.8745583170465064
2337.262,0.8594352825082159
2347.216,0.8587565375688646
2357.167,0.8558614464454946
2367.115,0.854512243193265
2377.061,0.8483156604591455
2387.005,0.8444811257194932
2396.947,0.8253439468646783
2406.886,0.8219549820314648
2416.823,0.80338495767239
2426.758,0.7995140217714506
2436.69,0.7759447769733174
2446.62,0.7729655299090803
2456.548,0.7525060812582084
2466.473,0.7504395604801706
2476.396,0.7341061137174254
2486.317,0.733621277768637
2496.236,0.7291263619016746
