,Wavelength(nm),Band-2 – R1,,,Wavelength(nm),Band-3 – R1,Wavelength(nm),Band-4 – R1,Wavelength(nm),Band-5 – R1
,598,0.115242147513481,,,678,0.942080560734742,758,0.015884444765651,1458,0.001893943998829
,600,0.065936587203049,,,680,0.93363884652137,760,0.028748093836389,1460,0.002061779214918
,602,0.036727783017153,,,682,0.813022585599251,762,0.047532570765556,1462,0.002302095402911
,604,0.019401864130459,,,684,0.543925355454328,764,0.073660444612463,1464,0.002556777075446
,606,0.009536001710257,,,686,0.273498766545389,766,0.108706784860681,1466,0.002798964410289
,608,0.004429565813976,,,688,0.112296949269637,768,0.155136950302918,1468,0.003078018056462
,610,0.002081536069834,,,690,0.039623113764903,770,0.214651394314541,1470,0.003405031282043
,612,0.001065313507257,,,692,0.010031851338669,772,0.289639754737538,1472,0.003817089510923
,614,0.00060925308272,,,694,0.001777051456663,774,0.378558235646689,1474,0.004245400793568
,616,0.000396699476238,,,696,0.000422216498372,776,0.480679794801729,1476,0.004659400972116
,618,0.00029216061935,,,698,0.000223961438989,778,0.590469383332564,1478,0.005195974959038
,620,0.000238151317768,,,700,0.000178992828663,780,0.704015114228705,1480,0.005738092082037
,622,0.000210071007188,,,702,0.000180983125122,782,0.805707549735944,1482,0.006396602341907
,624,0.000195249882182,,,704,0.000172959265747,784,0.893863805717373,1484,0.007101514778706
,626,0.000188276762865,,,706,0.000175022139387,786,0.953543863378994,1486,0.00790818684433
,628,0.000179246977094,,,708,0.000179205816563,788,0.987725134849992,1488,0.008823759502065
,630,0.000175208922371,,,710,0.000177223865605,790,0.994756557445461,1490,0.009811800848711
,632,0.000176375594311,,,712,0.000170027786588,792,0.983303963959217,1492,0.010859222258213
,634,0.000169732405568,,,714,0.000175367524003,794,0.957111196165779,1494,0.012168034108187
,636,0.000173826668011,,,716,0.000178301409631,796,0.924305097785974,1496,0.013532557729217
,638,0.000171544188276,,,718,0.00018109458054,798,0.886943227114791,1498,0.015108751331099
,640,0.000172925185438,,,720,0.000181565109857,800,0.852511660406454,1500,0.016833936977812
,642,0.000171947146505,,,722,0.000175222717132,802,0.81850552521993,1502,0.018834861774681
,644,0.000172359709174,,,724,0.000174826087968,804,0.789934031721571,1504,0.021071321131998
,646,0.000172491574606,,,726,0.000183754343598,806,0.763923000112453,1506,0.023591714889514
,648,0.000174806623624,,,728,0.000179521595606,808,0.74314463841436,1508,0.026430099602504
,650,0.000172012094874,,,730,0.000180799345601,810,0.724892121457783,1510,0.029661869231529
,652,0.000170808642432,,,732,0.000185672937005,812,0.711211599954761,1512,0.033549380026147
,654,0.000173679873928,,,734,0.00018227674749,814,0.699285843915418,1514,0.037877281318746
,656,0.00017462375386,,,736,0.000181506348598,816,0.68948938055547,1516,0.042724793511796
,658,0.000173152885715,,,738,0.000187541683332,818,0.684208857998089,1518,0.048152103376981
,660,0.000182391909343,,,740,0.000187158273361,820,0.677756060400107,1520,0.054516876364462
,670,0.000180522472657,,,742,0.000189955414059,822,0.674711258863798,1522,0.061772850117362
,680,0.000179590132794,,,744,0.00019679821219,824,0.670886515392224,1524,0.069975499312872
,690,0.000188416634856,,,746,0.000195150107678,826,0.669071349208394,1526,0.079446840268173
,700,0.000183188371143,,,748,0.000192756135601,828,0.666230776345822,1528,0.090173844517558
,710,0.000180641458438,,,750,0.000187566592611,830,0.66482023801298,1530,0.103490846241258
,720,0.000184290176473,,,760,0.000194796859713,832,0.662534721423631,1532,0.118419011026885
,730,0.00018802602471,,,770,0.000201161294612,834,0.657565566053576,1534,0.135660346729155
